csv_file,route_idx,chunk_idx,step_idx,criticality,base_cost,best_cost,improvement,best_idx,best_mean_abs_resid,best_max_abs_resid,base_h_cost_ref
/workspace/controls_challenge/data/16559.csv,16,39,295,0.5249159932136536,476.65216064453125,108.5144271850586,368.13773345947266,29,0.04650210216641426,0.13308990001678467,476.6521911621094
/workspace/controls_challenge/data/07164.csv,14,58,390,0.565670371055603,1581.7593994140625,1216.30078125,365.4586181640625,7,0.06663753092288971,0.11533400416374207,1581.759521484375
/workspace/controls_challenge/data/19349.csv,9,2,110,0.561866044998169,782.379638671875,465.61981201171875,316.75982666015625,21,0.08024448901414871,0.12827397882938385,782.3796997070312
/workspace/controls_challenge/data/01041.csv,11,69,445,0.5781573057174683,1722.3343505859375,1414.9053955078125,307.428955078125,5,0.06805247068405151,0.11318189650774002,1722.334228515625
/workspace/controls_challenge/data/04572.csv,5,50,350,0.5966651439666748,1050.0777587890625,750.7981567382812,299.27960205078125,5,0.055269159376621246,0.10342956334352493,1050.0777587890625
/workspace/controls_challenge/data/19726.csv,17,13,165,0.5931268930435181,680.3646240234375,395.35198974609375,285.01263427734375,16,0.07410917431116104,0.12160445004701614,680.3646240234375
/workspace/controls_challenge/data/17856.csv,21,49,345,0.5220972299575806,404.7843322753906,153.13775634765625,251.64657592773438,27,0.05215775966644287,0.08941417932510376,404.78436279296875
/workspace/controls_challenge/data/13825.csv,10,46,330,0.5481255054473877,474.6158447265625,228.04661560058594,246.56922912597656,13,0.06764032691717148,0.11157688498497009,474.6158142089844
/workspace/controls_challenge/data/13825.csv,10,41,305,0.6083087921142578,1936.549072265625,1692.6761474609375,243.8729248046875,25,0.06919481605291367,0.19882653653621674,1936.548828125
/workspace/controls_challenge/data/03070.csv,13,61,405,0.5722575783729553,1085.923828125,852.1779174804688,233.74591064453125,7,0.06768351048231125,0.08956936001777649,1085.923828125
/workspace/controls_challenge/data/00976.csv,12,51,355,0.5267434120178223,404.31591796875,188.30853271484375,216.00738525390625,16,0.03403631970286369,0.07323969155550003,404.3159484863281
/workspace/controls_challenge/data/13848.csv,29,26,230,0.6191561222076416,1352.730224609375,1149.5809326171875,203.1492919921875,20,0.07144759595394135,0.1006389781832695,1352.72998046875
/workspace/controls_challenge/data/07223.csv,23,29,245,0.5404164791107178,564.322265625,366.0086669921875,198.3135986328125,7,0.0653853565454483,0.11537995934486389,564.3223266601562
/workspace/controls_challenge/data/00976.csv,12,50,350,0.5371541976928711,382.85235595703125,202.36245727539062,180.48989868164062,24,0.02531539276242256,0.046978868544101715,382.8523864746094
/workspace/controls_challenge/data/05231.csv,28,57,385,0.5925251841545105,459.11004638671875,286.5386657714844,172.57138061523438,16,0.026274649426341057,0.06723695248365402,459.11004638671875
/workspace/controls_challenge/data/06515.csv,20,61,405,0.6008505821228027,2433.319091796875,2283.34375,149.975341796875,13,0.024747414514422417,0.06580516695976257,2433.3193359375
/workspace/controls_challenge/data/03648.csv,0,21,205,0.5531187057495117,478.954833984375,341.24530029296875,137.70953369140625,9,0.028106708079576492,0.06914469599723816,478.9548034667969
/workspace/controls_challenge/data/14719.csv,24,10,150,0.586681604385376,1342.892578125,1212.9903564453125,129.9022216796875,26,0.023208295926451683,0.06620040535926819,1342.8924560546875
/workspace/controls_challenge/data/16559.csv,16,22,210,0.5267519950866699,296.84912109375,170.0752410888672,126.77388000488281,29,0.0260852612555027,0.05550328642129898,296.84912109375
